Performance Analysis

BENCH	RATE (i/s)
fdct	140915.198961
expint	131409.676749
compress	147798.667172
cover	84367.595873
bsort100	88400.815635
cnt	154371.676407
fft1	99391.103447
duff	62442.134998
bs	51305.975822
fibcall	61132.688455
edn	171268.386942
janne_complex	151358.276424
qurt	83524.320071
qsort-exam	153058.168691
adpcm	171463.869923
ludcmp	149546.738461
ndes	165422.587257
fac	161185.087694
fir	147252.621358
minver	126249.625734
lms	155203.499721
nsichneu	158523.237541
jfdctint	134055.893480
prime	122994.950385
statemate	73724.693876
recursion	113995.754419
ns	146774.114365
crc	168973.640461
matmult	166410.454404
lcdnum	139952.792639
st	147295.524104
select	149590.936415
insertsort	117437.394415
ud	148173.991490
AVERAGE	130734.473347
MAX	171463.869923
MIN	51305.975822
